TransactionID,age,price_int
2000001,20,1090.0
2000002,20,1090.0
2000003,20,1090.0
2000004,20,1090.0
2000005,20,1090.0
2000006,20,1090.0
2000007,20,1090.0
2000008,20,1090.0
2000009,20,1090.0
2000010,20,1090.0
2000011,20,1090.0
2000012,20,1090.0
2000013,20,1090.0
2000014,20,1090.0
2000015,20,1090.0
2000016,20,1090.0
2000017,20,1090.0
2000018,20,1090.0
2000019,20,1090.0
2000020,20,1090.0
2000021,20,1090.0
2000022,20,1090.0
2000023,20,1090.0
2000024,20,1090.0
2000025,20,1090.0
2000026,20,1090.0
2000027,20,1090.0
2000028,20,1090.0
2000029,20,1090.0
2000030,20,1090.0
2000031,20,1090.0
2000032,20,1090.0
2000033,20,1090.0
2000034,20,1090.0
2000035,20,1090.0
2000036,20,1090.0
2000037,20,1090.0
2000038,20,1090.0
2000039,20,1090.0
2000040,20,1090.0
2000041,20,1090.0
2000042,20,1090.0
2000043,20,1090.0
2000044,20,1090.0
2000045,20,1090.0
2000046,20,1090.0
2000047,20,1090.0
2000048,20,1090.0
2000049,20,1090.0
2000050,20,1090.0
2000051,20,1090.0
2000052,20,1090.0
2000053,20,1090.0
2000054,20,1090.0
2000055,20,1090.0
2000056,20,1090.0
2000057,20,1090.0
2000058,20,1090.0
2000059,20,1090.0
2000060,20,1090.0
2000061,20,1090.0
2000062,20,1090.0
2000063,20,1090.0
2000064,20,1090.0
2000065,20,1090.0
2000066,20,1090.0
2000067,20,1090.0
2000068,20,1090.0
2000069,20,1090.0
2000070,20,1090.0
2000071,20,1090.0
2000072,20,1090.0
2000073,20,1090.0
2000074,20,1090.0
2000075,20,1090.0
2000076,20,1090.0
2000077,20,1090.0
2000078,20,1090.0
2000079,20,1090.0
2000080,20,1090.0
2000081,20,1090.0
2000082,20,1090.0
2000083,20,1090.0
2000084,20,1090.0
2000085,20,1090.0
2000086,20,1090.0
2000087,20,1090.0
2000088,20,1090.0
2000089,20,1090.0
2000090,20,1090.0
2000091,20,1090.0
2000092,20,1090.0
2000093,20,1090.0
2000094,20,1090.0
2000095,20,1090.0
2000096,20,1090.0
2000097,20,1090.0
2000098,20,1090.0
2000099,20,1090.0
2000100,20,1090.0
2000101,20,1090.0
2000102,20,1090.0
2000103,20,1090.0
2000104,20,1090.0
2000105,20,1090.0
2000106,20,1090.0
2000107,20,1090.0
2000108,20,1090.0
2000109,20,1090.0
2000110,20,1090.0
2000111,20,1090.0
2000112,20,1090.0
2000113,20,1090.0
2000114,20,1090.0
2000115,20,1090.0
2000116,20,1090.0
2000117,20,1090.0
2000118,20,1090.0
2000119,20,1090.0
2000120,20,1090.0
2000121,20,1090.0
2000122,20,1090.0
2000123,20,1090.0
2000124,20,1090.0
2000125,20,1090.0
2000126,20,1090.0
2000127,20,1090.0
2000128,20,1090.0
2000129,20,1090.0
2000130,20,1090.0
2000131,20,1090.0
2000132,20,1090.0
2000133,20,1090.0
2000134,20,1090.0
2000135,20,1090.0
2000136,20,1090.0
2000137,20,1090.0
2000138,20,1090.0
2000139,20,1090.0
2000140,20,1090.0
2000141,20,1090.0
2000142,20,1090.0
2000143,20,1090.0
2000144,20,1090.0
2000145,20,1090.0
2000146,20,1090.0
2000147,20,1090.0
2000148,20,1090.0
2000149,20,1090.0
2000150,20,1090.0
2000151,20,1090.0
2000152,20,1090.0
2000153,20,1090.0
2000154,20,1090.0
2000155,20,1090.0
2000156,20,1090.0
2000157,20,1090.0
2000158,20,1090.0
2000159,20,1090.0
2000160,20,1090.0
2000161,20,1090.0
2000162,20,1090.0
2000163,20,1090.0
2000164,20,1090.0
2000165,20,1090.0
2000166,20,1090.0
2000167,20,1090.0
2000168,20,1090.0
2000169,20,1090.0
2000170,20,1090.0
2000171,20,1090.0
2000172,20,1090.0
2000173,20,1090.0
2000174,20,1090.0
2000175,20,1090.0
2000176,20,1090.0
2000177,20,1090.0
2000178,20,1090.0
2000179,20,1090.0
2000180,20,1090.0
2000181,20,1090.0
2000182,20,1090.0
2000183,20,1090.0
2000184,20,1090.0
2000185,20,1090.0
2000186,20,1090.0
2000187,20,1090.0
2000188,20,1090.0
2000189,20,1090.0
2000190,20,1090.0
2000191,20,1090.0
2000192,20,1090.0
2000193,20,1090.0
2000194,20,1090.0
2000195,20,1090.0
2000196,20,1090.0
2000197,20,1090.0
2000198,20,1090.0
2000199,20,1090.0
2000200,20,1090.0
2000201,20,1090.0
2000202,20,1090.0
2000203,20,1090.0
2000204,20,1090.0
2000205,20,1090.0
2000206,20,1090.0
2000207,20,1090.0
2000208,20,1090.0
2000209,20,1090.0
2000210,20,1090.0
2000211,20,1090.0
2000212,20,1090.0
2000213,20,1090.0
2000214,20,1090.0
2000215,20,1090.0
2000216,20,1090.0
2000217,20,1090.0
2000218,20,1090.0
2000219,20,1090.0
2000220,20,1090.0
2000221,20,1090.0
2000222,20,1090.0
2000223,20,1090.0
2000224,20,1090.0
2000225,20,1090.0
2000226,20,1090.0
2000227,20,1090.0
2000228,20,1090.0
2000229,20,1090.0
2000230,20,1090.0
2000231,20,1090.0
2000232,20,1090.0
2000233,20,1090.0
2000234,20,1090.0
2000235,20,1090.0
2000236,20,1090.0
2000237,20,1090.0
2000238,20,1090.0
2000239,20,1090.0
2000240,20,1090.0
2000241,20,1090.0
2000242,20,1090.0
2000243,20,1090.0
2000244,20,1090.0
2000245,20,1090.0
2000246,20,1090.0
2000247,20,1090.0
2000248,20,1090.0
2000249,20,1090.0
2000250,20,1090.0
2000251,20,1090.0
2000252,20,1090.0
2000253,20,1090.0
2000254,20,1090.0
2000255,20,1090.0
2000256,20,1090.0
2000257,20,1090.0
2000258,20,1090.0
2000259,20,1090.0
2000260,20,1090.0
2000261,20,1090.0
2000262,20,1090.0
2000263,20,1090.0
2000264,20,1090.0
2000265,20,1090.0
2000266,20,1090.0
2000267,20,1090.0
2000268,20,1090.0
2000269,20,1090.0
2000270,20,1090.0
2000271,20,1090.0
2000272,20,1090.0
2000273,20,1090.0
2000274,20,1090.0
2000275,20,1090.0
2000276,20,1090.0
2000277,20,1090.0
2000278,20,1090.0
2000279,20,1090.0
2000280,20,1090.0
2000281,20,1090.0
2000282,20,1090.0
2000283,20,1090.0
2000284,20,1090.0
2000285,20,1090.0
2000286,20,1090.0
2000287,20,1090.0
2000288,20,1090.0
2000289,20,1090.0
2000290,20,1090.0
2000291,20,1090.0
2000292,20,1090.0
2000293,20,1090.0
2000294,20,1090.0
2000295,20,1090.0
2000296,20,1090.0
2000297,20,1090.0
2000298,20,1090.0
2000299,20,1090.0
2000300,20,1090.0
2000301,20,1090.0
2000302,20,1090.0
2000303,20,1090.0
2000304,20,1090.0
2000305,20,1090.0
2000306,20,1090.0
2000307,20,1090.0
2000308,20,1090.0
2000309,20,1090.0
2000310,20,1090.0
2000311,20,1090.0
2000312,20,1090.0
2000313,20,1090.0
2000314,20,1090.0
2000315,20,1090.0
2000316,20,1090.0
2000317,20,1090.0
2000318,20,1090.0
2000319,20,1090.0
2000320,20,1090.0
2000321,20,1090.0
2000322,20,1090.0
2000323,20,1090.0
2000324,20,1090.0
2000325,20,1090.0
2000326,20,1090.0
